2025-09-15T14:30:45 ,            0.05s , rows:0, 3e, DBA_HIST_OSSTAT, 77uqysaj0zsdz, 0, os_cpu_wait_time_per_instance, html , 00095_edb360_1a_6z_711081_3e_74_os_cpu_wait_time_per_instance.html
2025-09-15T14:30:45 ,            0.05s , rows:0, 3e, DBA_HIST_OSSTAT, 77uqysaj0zsdz, -1, os_cpu_wait_time_per_instance, line , 00096_edb360_1a_6z_711081_3e_74_os_cpu_wait_time_per_instance_line_chart.html
2025-09-15T14:30:45 ,            0.09s , rows:0, 3h, DBA_HIST_SQLSTAT, 9w414yhcymh3a, 0, sql_ordered_by_physical_reads, html , 00097_edb360_1a_6z_711081_3h_75_sql_ordered_by_physical_reads.html
2025-09-15T14:30:45 ,            0.01s , rows:0, 3h, DBA_HIST_SQLSTAT, 50uabj20wrj8p, 0, sql_ordered_by_physical_reads_time_series, html , 00098_edb360_1a_6z_711081_3h_76_sql_ordered_by_physical_reads_time_series.html
2025-09-15T14:30:45 ,            0.02s , rows:0, 3h, DBA_HIST_SQLSTAT, 50uabj20wrj8p, -1, sql_ordered_by_physical_reads_time_series, line , 00099_edb360_1a_6z_711081_3h_76_sql_ordered_by_physical_reads_time_series_line_chart.html
2025-09-15T14:30:45 ,            0.05s , rows:0, 3h, DBA_HIST_SQLSTAT, 87sawaq4xrvj8, 0, sql_ordered_by_direct_writes, html , 00100_edb360_1a_6z_711081_3h_77_sql_ordered_by_direct_writes.html
2025-09-15T14:30:46 ,            0.00s , rows:0, 3h, DBA_HIST_SQLSTAT, 50uabj20wrj8p, 0, sql_ordered_by_direct_writes_time_series, html , 00101_edb360_1a_6z_711081_3h_78_sql_ordered_by_direct_writes_time_series.html
2025-09-15T14:30:46 ,            0.00s , rows:0, 3h, DBA_HIST_SQLSTAT, 50uabj20wrj8p, -1, sql_ordered_by_direct_writes_time_series, line , 00102_edb360_1a_6z_711081_3h_78_sql_ordered_by_direct_writes_time_series_line_chart.html
2025-09-15T14:30:46 ,            0.11s , rows:0, 3h, DBA_HIST_ACTIVE_SESS_HISTORY, 7n9nq424umwh2, 0, sql_blocking_sql, html , 00103_edb360_1a_6z_711081_3h_79_sql_blocking_sql.html
2025-09-15T14:30:46 ,            0.10s , rows:0, 4a, DBA_HIST_SGASTAT, dt3d4hz1789db, 0, sga_statistics_for_instance_1, html , 00104_edb360_1a_6z_711081_4a_80_sga_statistics_for_instance_1.html
2025-09-15T14:30:46 ,            0.08s , rows:0, 4a, DBA_HIST_SGASTAT, dt3d4hz1789db, -1, sga_statistics_for_instance_1, line , 00105_edb360_1a_6z_711081_4a_80_sga_statistics_for_instance_1_line_chart.html
2025-09-15T14:30:47 ,            0.11s , rows:0, 4b, DBA_HIST_PGASTAT, 5jwgdn3ux7ka6, 0, pga_statistics_for_instance_1, html , 00106_edb360_1a_6z_711081_4b_81_pga_statistics_for_instance_1.html
2025-09-15T14:30:47 ,            0.10s , rows:0, 4b, DBA_HIST_PGASTAT, 5jwgdn3ux7ka6, -1, pga_statistics_for_instance_1, line , 00107_edb360_1a_6z_711081_4b_81_pga_statistics_for_instance_1_line_chart.html
2025-09-15T14:30:47 ,            0.30s , rows:0, 4c, DBA_HIST_OSSTAT, 51rn5uwv2gn7n, 0, memory_statistics_for_instance_1, html , 00108_edb360_1a_6z_711081_4c_82_memory_statistics_for_instance_1.html
